plr_percent_increase_peryear,cumulative_probability
0.038043401,0.012195121951219513
0.073855277,0.024390243902439025
0.084571064,0.036585365853658534
0.089499773,0.04878048780487805
0.099683124,0.06097560975609756
0.154716991,0.07317073170731707
0.16228571,0.08536585365853659
0.165077035,0.0975609756097561
0.174357962,0.10975609756097561
0.302266519,0.12195121951219512
0.329230991,0.13414634146341464
0.330440821,0.14634146341463414
0.341319146,0.15853658536585366
0.346847614,0.17073170731707318
0.351822552,0.18292682926829268
0.367227094,0.1951219512195122
0.418617494,0.2073170731707317
0.420571456,0.21951219512195122
0.445226065,0.23170731707317074
0.455014414,0.24390243902439024
0.46401544,0.25609756097560976
0.482177026,0.2682926829268293
0.539578263,0.2804878048780488
0.567083481,0.2926829268292683
0.582570831,0.3048780487804878
0.582817407,0.3170731707317073
0.594292259,0.32926829268292684
0.605643707,0.34146341463414637
0.606748136,0.35365853658536583
0.618513698,0.36585365853658536
0.647884245,0.3780487804878049
0.682837469,0.3902439024390244
0.693564532,0.4024390243902439
0.71346814,0.4146341463414634
0.715145655,0.4268292682926829
0.727880193,0.43902439024390244
0.738424583,0.45121951219512196
0.752943255,0.4634146341463415
0.759082962,0.47560975609756095
0.801934813,0.4878048780487805
0.840303083,0.5
0.887305201,0.5121951219512195
0.900971907,0.524390243902439
0.948351328,0.5365853658536586
0.990221673,0.5487804878048781
1.022151091,0.5609756097560976
1.039881884,0.573170731707317
1.040441888,0.5853658536585366
1.057204846,0.5975609756097561
1.065974589,0.6097560975609756
1.08559459,0.6219512195121951
1.107618498,0.6341463414634146
1.146095062,0.6463414634146342
1.16532407,0.6585365853658537
1.207721209,0.6707317073170732
1.249132495,0.6829268292682927
1.258427949,0.6951219512195121
1.264410568,0.7073170731707317
1.289761597,0.7195121951219512
1.32867296,0.7317073170731707
1.33759746,0.7439024390243902
1.364242642,0.7560975609756098
1.386968103,0.7682926829268293
1.401430431,0.7804878048780488
1.519659147,0.7926829268292683
1.585439242,0.8048780487804879
1.757602627,0.8170731707317073
1.801832572,0.8292682926829268
1.850995967,0.8414634146341463
2.072638044,0.8536585365853658
2.111528228,0.8658536585365854
2.444206969,0.8780487804878049
2.475747945,0.8902439024390244
2.586020923,0.9024390243902439
2.65619456,0.9146341463414634
2.861304705,0.926829268292683
2.901288924,0.9390243902439024
2.95449976,0.9512195121951219
3.225851231,0.9634146341463414
3.260276368,0.975609756097561
3.457936675,0.9878048780487805
4.355638934,1.0
