,effective_capacity_MW_end
30,69.65498425752787
81,99.01643203634919
132,84.67108420245154
183,78.40210522094283
234,99.01643203634919
285,99.01643203634919
336,75.8013429689334
387,87.18880515647561
438,74.88229453285929
489,99.01643203634919
540,93.79888286354738
591,38.52225301889795
642,99.01643203634919
693,99.01643203634919
744,77.67537251215958
795,77.69199921417363
846,99.01643203634919
897,66.2465843238762
948,90.60503281917744
999,65.05190079117926
1050,99.01643203634919
1101,66.36905044653396
1152,96.47346796274375
1203,54.82996721282185
1254,77.44983080218724
1305,99.01643203634919
1356,48.060738991987584
1407,72.67255910126772
1458,78.89012143344601
1509,99.01643203634919
1560,88.66791868862012
1611,39.91109501438739
1662,99.01643203634919
1713,99.01643203634919
1764,44.10736018210833
1815,99.01643203634919
1866,99.01643203634919
1917,99.01643203634919
1968,99.01643203634919
2019,73.80578483571438
2070,61.55340673755336
2121,99.01643203634919
2172,45.72717570597317
2223,99.01643203634919
2274,64.37473259080369
2325,99.01643203634919
2376,94.6707785041985
2427,99.01643203634919
2478,94.77986716030323
2529,59.238635335703044
2580,99.01643203634919
2631,52.61115345604102
2682,90.64133744730626
2733,99.01643203634919
2784,90.8788630406945
2835,99.01643203634919
2886,99.01643203634919
2937,88.28407950799311
2988,99.01643203634919
3039,89.85098511487132
3090,99.01643203634919
3141,99.01643203634919
3192,68.73005758905246
3243,99.01643203634919
3294,89.92677745734849
3345,82.08900890004021
3396,99.01643203634919
3447,99.01643203634919
3498,99.01643203634919
3549,88.85661236523298
3600,99.01643203634919
3651,99.01643203634919
3702,99.01643203634919
3753,99.01643203634919
3804,93.53383917028
3855,99.01643203634919
3906,79.70120014534601
3957,61.96303521454941
4008,46.4505411666465
4059,63.02417865637105
4110,99.01643203634919
4161,86.55706880974772
4212,38.084798426219194
4263,83.59013419347949
4314,57.868090004067746
4365,99.01643203634919
4416,99.01643203634919
4467,88.57786624477987
4518,99.01643203634919
4569,66.80761544516787
4620,99.01643203634919
4671,99.01643203634919
4722,72.36730897186756
4773,99.01643203634919
4824,99.01643203634919
4875,61.521913659912855
4926,99.01643203634919
4977,82.06836104755072
5028,89.24746488200418
5079,57.705002424935195
5130,49.08319319280077
5181,99.01643203634919
5232,99.01643203634919
5283,48.902569649081094
5334,99.01643203634919
5385,99.01643203634919
5436,99.01643203634919
5487,84.72922528014105
5538,40.43604813260794
5589,83.17192537097279
5640,54.96433890675884
5691,99.01643203634919
5742,99.01643203634919
5793,99.01643203634919
5844,99.01643203634919
5895,49.87648615179178
5946,88.56901124967447
5997,93.66687595130563
6048,99.01643203634919
6099,93.47460541555195
6150,99.01643203634919
6201,73.69056855569868
6252,82.13270205562768
6303,76.03589343904979
6354,92.75967897617748
6405,83.86558504548353
6456,81.0130425917935
6507,73.50112781315977
6558,99.01643203634919
6609,69.47781320561275
6660,92.56231814967433
6711,99.01643203634919
6762,99.01643203634919
6813,29.906647616629865
6864,93.05399171196665
6915,42.985613825405444
6966,84.70557580250413
7017,65.91392320560274
7068,61.76421269075176
7119,88.67249866730054
7170,63.73633245567035
7221,99.01643203634919
7272,99.01643203634919
7323,85.19128845074057
7374,99.01643203634919
7425,80.77418615086353
7476,54.413153034058226
7527,41.8678907366164
7578,99.01643203634919
7629,99.01643203634919
7680,74.79900856322587
7731,77.36574648050792
7782,99.01643203634919
7833,99.01643203634919
7884,91.31663602996153
7935,73.08615394371135
7986,49.34185756950948
8037,57.355533664283115
8088,86.60113262764665
8139,75.65359445234826
8190,99.01643203634919
8241,99.01643203634919
8292,46.15904738772137
8343,91.94206315088701
8394,45.48062240829688
8445,99.01643203634919
8496,79.29195907886692
8547,81.41802274751781
8598,88.740694093564
8649,74.4586830124391
8700,76.21559258639456
8751,99.01643203634919
8802,99.01643203634919
8853,79.55590784973676
8904,91.09144990688552
8955,99.01643203634919
9006,87.28182650933627
9057,92.84198468191263
9108,85.70332259514653
9159,84.2064239229539
9210,89.69599835158284
9261,99.01643203634919
9312,63.12343906956428
9363,77.68767174848834
9414,99.01643203634919
9465,72.76231765698934
9516,11.348893703715593
9567,24.395390987881942
9618,94.4261906727909
9669,99.01643203634919
9720,99.01643203634919
9771,82.1972221604919
9822,99.01643203634919
9873,94.49037424567695
9924,78.62546232540316
9975,54.029632071784064
10026,90.50390102318168
10077,41.17831065700413
10128,99.01643203634919
10179,88.58679335212935
10230,99.01643203634919
10281,90.26042294251616
10332,97.1848484852551
10383,98.62620928889743
10434,99.01643203634919
10485,66.67013778931876
10536,53.11233483997202
10587,54.06892418030274
10638,99.01643203634919
10689,79.81356256602608
10740,99.01643203634919
10791,90.8686492799919
10842,99.01643203634919
10893,99.01643203634919
10944,66.72812808340392
10995,96.22418719451855
11046,79.95141836391177
11097,59.71741013997489
11148,46.04222030010033
11199,89.53999870201464
11250,63.36648412780219
11301,97.77961263327721
11352,90.55297745821336
11403,38.19984828842745
11454,99.01643203634919
11505,71.84989638982505
11556,91.47956982110473
11607,99.01643203634919
11658,99.01643203634919
11709,93.93355035135383
11760,65.26826858762506
11811,99.01643203634919
11862,73.75546397513132
11913,99.01643203634919
11964,99.01643203634919
12015,67.31211990844784
12066,83.00077491938471
12117,42.30436589853445
12168,87.00661794237529
12219,99.01643203634919
12270,31.596029117698492
12321,91.49319031661399
12372,88.7612752353058
12423,92.32203500061833
12474,99.01643203634919
12525,69.32510974682684
12576,91.50505694056422
12627,44.2405832143243
12678,99.01643203634919
12729,95.22741845983161
12780,99.01643203634919
12831,95.51690272683047
12882,56.87165835231313
12933,9.457144471974377
12984,86.24755084298297
13035,33.588913182997324
13086,87.63347702363824
13137,99.01643203634919
13188,49.486911646456974
13239,53.40090120181164
13290,69.93919161266176
13341,98.09606198122651
13392,99.01643203634919
13443,70.09857926344624
13494,64.39951758162874
13545,62.349871303625385
13596,99.01643203634919
13647,56.86043120310102
13698,99.01643203634919
13749,93.84465388996345
13800,90.22600356329559
13851,99.01643203634919
13902,99.01643203634919
13953,85.6530027261496
14004,86.62099413502504
14055,91.71164071144524
14106,65.49786724114844
14157,60.453488706131445
14208,62.7927009354103
14259,99.01643203634919
14310,99.01643203634919
14361,84.46099785726231
14412,99.01643203634919
14463,90.71147214985439
14514,52.164761140379625
14565,99.01643203634919
14616,98.62230802351804
14667,91.42168588856084
14718,99.01643203634919
14769,83.94935631244965
14820,77.60429655036594
14871,99.01643203634919
14922,99.01643203634919
14973,93.41269657066898
15024,97.60823401909747
15075,43.666337102578474
15126,99.01643203634919
15177,99.01643203634919
15228,57.89312787702563
15279,99.01643203634919
15330,99.01643203634919
15381,99.01643203634919
15432,99.01643203634919
15483,99.01643203634919
15534,73.98774308491177
15585,99.01643203634919
15636,99.01643203634919
15687,99.01643203634919
15738,99.01643203634919
15789,99.01643203634919
15840,85.70935508805667
15891,93.60554238962195
15942,94.4498159423296
15993,99.01643203634919
16044,95.09280039168236
16095,99.01643203634919
16146,39.55607880022161
16197,94.61821772532527
16248,99.01643203634919
16299,99.01643203634919
16350,93.02559066357878
16401,99.01643203634919
16452,99.01643203634919
16503,99.01643203634919
16554,94.06321244005227
16605,99.01643203634919
16656,80.22088971329225
16707,36.43208011756127
16758,41.281806731222
16809,39.58061424119638
16860,41.969532899597375
16911,79.13451118929358
16962,92.66584742926663
17013,99.01643203634919
17064,83.45738685140458
17115,99.01643203634919
17166,89.46142537199097
17217,99.01643203634919
17268,95.36935875008972
17319,99.01643203634919
17370,49.31229734354473
17421,80.23941524543568
17472,99.01643203634919
17523,36.361934542792795
17574,93.88504006763442
17625,72.77847415004508
17676,46.12224187892344
17727,99.01643203634919
17778,61.69463354373553
17829,99.01643203634919
17880,59.23886518703079
17931,87.9275672059505
17982,99.01643203634919
18033,53.29775559500293
18084,96.7511067338955
18135,80.05817807107704
18186,99.01643203634919
18237,99.01643203634919
18288,63.92870843711072
18339,67.02003699868725
18390,66.97212552899474
18441,77.17717073754385
18492,94.16736476662983
18543,83.98372506168258
18594,99.01643203634919
18645,99.01643203634919
18696,82.20176395068417
18747,96.94219535484348
18798,87.15571390482683
18849,99.01643203634919
18900,76.10297027523326
18951,99.01643203634919
19002,50.77194708561509
19053,77.56203422810822
19104,99.01643203634919
19155,79.85258124026355
19206,99.01643203634919
19257,99.01643203634919
19308,29.27959953933367
19359,37.90292512989694
19410,99.01643203634919
19461,85.63301364250195
19512,92.33109286347299
19563,84.351880720862
19614,56.30429768112201
19665,94.89913163005296
19716,99.01643203634919
19767,97.45564086953867
19818,99.01643203634919
19869,82.2490284180368
19920,99.01643203634919
19971,91.98507100310579
20022,82.47192877585864
20073,90.51066051467329
20124,99.01643203634919
20175,99.01643203634919
20226,90.88306217747132
20277,99.01643203634919
20328,95.88901029930872
20379,43.89252956851695
20430,99.01643203634919
20481,99.01643203634919
20532,47.39299423272907
20583,84.81085186065795
20634,99.01643203634919
20685,83.6263341236323
20736,99.01643203634919
20787,75.62216354599715
20838,40.2874423883756
20889,81.88509846219917
20940,69.67218844972723
20991,99.01643203634919
21042,99.01643203634919
21093,86.05817875286972
21144,99.01643203634919
21195,97.13642274414572
21246,77.59027835539287
21297,80.34570916381026
21348,99.01643203634919
21399,76.11979764354408
21450,95.43502622069288
21501,99.01643203634919
21552,91.52676607248745
21603,99.01643203634919
21654,97.19460597896084
21705,48.40375744956913
21756,99.01643203634919
21807,99.01643203634919
21858,83.89224553813347
21909,99.01643203634919
21960,95.861986822654
22011,30.4715454825448
22062,23.012343191404387
22113,99.01643203634919
22164,96.89640569143069
22215,64.11419544459714
22266,93.85053587319253
22317,32.18312151302708
22368,78.38322212488367
22419,35.545234319607815
22470,99.01643203634919
22521,99.01643203634919
22572,84.82293827951149
22623,71.33660053241843
22674,63.99647024474537
22725,99.01643203634919
22776,66.46470048483347
22827,87.48702707920104
22878,99.01643203634919
22929,99.01643203634919
22980,99.01643203634919
23031,70.18695490125579
23082,85.77071411804587
23133,99.01643203634919
23184,72.04378536101282
23235,99.01643203634919
23286,51.77273962792486
23337,43.26251176219471
23388,84.99414530901333
23439,99.01643203634919
23490,99.01643203634919
23541,63.226305614342465
23592,99.01643203634919
23643,86.75806876864152
23694,99.01643203634919
23745,99.01643203634919
23796,99.01643203634919
23847,56.26937601174463
23898,73.8183279021846
23949,99.01643203634919
24000,99.01643203634919
24051,99.01643203634919
24102,99.01643203634919
24153,99.01643203634919
24204,43.727094458228414
24255,82.74040608689401
24306,99.01643203634919
24357,83.79103483507318
24408,87.95076412790296
24459,76.86492503605044
24510,79.33044995579687
24561,96.18839851371204
24612,49.7508738754864
24663,99.01643203634919
24714,99.01643203634919
24765,99.01643203634919
24816,73.24349355375584
24867,70.89709814423483
24918,65.6719979710354
24969,99.01643203634919
25020,99.01643203634919
25071,80.0534780194956
25122,99.01643203634919
25173,99.01643203634919
25224,99.01643203634919
25275,99.01643203634919
25326,99.01643203634919
25377,85.5025050289994
25428,59.94908352143205
25479,99.01643203634919
