,effective_capacity_MW_end
30,67.43737663590778
81,99.01643203634919
132,80.88717598137214
183,73.78757040372352
234,99.01643203634919
285,99.01643203634919
336,66.35538620494698
387,86.37031004137374
438,71.26490592344103
489,99.01643203634919
540,93.05196831448457
591,31.862387848091227
642,99.01643203634919
693,99.01643203634919
744,73.47124487277661
795,71.91492902475771
846,99.01643203634919
897,62.240946588654985
948,84.69696248145807
999,55.7151951429606
1050,99.01643203634919
1101,63.32289178952046
1152,93.79443034366835
1203,44.751724989111985
1254,74.05262846234808
1305,99.01643203634919
1356,47.21268986096152
1407,71.82726790332535
1458,72.3509472849419
1509,99.01643203634919
1560,78.48397626739747
1611,31.28980389887769
1662,99.01643203634919
1713,99.01643203634919
1764,34.86290756438321
1815,99.01643203634919
1866,99.01643203634919
1917,99.01643203634919
1968,99.01643203634919
2019,61.97453508519001
2070,53.67615615290816
2121,99.01643203634919
2172,45.424439119210604
2223,99.01643203634919
2274,60.49911990859517
2325,99.01643203634919
2376,90.6223482385522
2427,99.01643203634919
2478,90.36571685890866
2529,48.82787625959107
2580,99.01643203634919
2631,41.38535987636879
2682,85.7118908399934
2733,99.01643203634919
2784,87.4984027801185
2835,99.01643203634919
2886,99.01643203634919
2937,83.76685856446753
2988,99.01643203634919
3039,86.13084870482193
3090,99.01643203634919
3141,99.01643203634919
3192,64.74164795193431
3243,99.01643203634919
3294,85.75715237268639
3345,77.26470116243206
3396,99.01643203634919
3447,99.01643203634919
3498,99.01643203634919
3549,84.95178252524288
3600,99.01643203634919
3651,99.01643203634919
3702,99.01643203634919
3753,99.01643203634919
3804,88.33020077838486
3855,99.01643203634919
3906,76.0601701764116
3957,51.85973124766851
4008,44.83603521077522
4059,50.949701744926706
4110,99.01643203634919
4161,85.1851263053936
4212,30.53742468937517
4263,79.8721338557216
4314,43.67318241588611
4365,99.01643203634919
4416,99.01643203634919
4467,86.87886508655903
4518,99.01643203634919
4569,61.884430850403156
4620,99.01643203634919
4671,99.01643203634919
4722,71.15036377549754
4773,99.01643203634919
4824,99.01643203634919
4875,57.17757968909406
4926,99.01643203634919
4977,81.21202041094432
5028,87.83722404054069
5079,45.63775564394429
5130,46.95332370674645
5181,99.01643203634919
5232,99.01643203634919
5283,39.895016801525394
5334,99.01643203634919
5385,99.01643203634919
5436,99.01643203634919
5487,82.58189229368777
5538,33.45539787530679
5589,80.08016526161293
5640,52.235863262323186
5691,99.01643203634919
5742,99.01643203634919
5793,99.01643203634919
5844,99.01643203634919
5895,39.72531942711856
5946,83.5252495065382
5997,88.24045061979359
6048,99.01643203634919
6099,90.86297419418344
6150,99.01643203634919
6201,63.05414835633355
6252,79.595854303365
