,effective_capacity_MW_end
30,66.04229669400222
81,99.01643203634919
132,78.65146856403378
183,70.95391820269698
234,99.01643203634919
285,99.01643203634919
336,61.184097591988596
387,85.74732236066767
438,68.94042057995827
489,99.01643203634919
540,92.47020063702716
591,28.941738000768545
642,99.01643203634919
693,99.01643203634919
744,70.83111342535845
795,68.50545463511882
846,99.01643203634919
897,59.78820223352834
948,81.47045901030762
999,50.78647090899399
1050,99.01643203634919
1101,61.53243924176332
1152,92.0686765268925
1203,40.74196639049444
1254,71.86841283135212
1305,99.01643203634919
1356,46.62468195435177
1407,71.2033556165084
1458,68.97676479930516
1509,99.01643203634919
1560,72.73623124326522
1611,27.83385026154925
1662,99.01643203634919
1713,99.01643203634919
1764,31.419028314502384
1815,99.01643203634919
1866,99.01643203634919
1917,99.01643203634919
1968,99.01643203634919
2019,55.93358510422254
2070,50.08209977680137
2121,99.01643203634919
2172,45.18257826223803
2223,99.01643203634919
2274,58.11534856848043
2325,99.01643203634919
2376,88.20989460508618
2427,99.01643203634919
2478,87.77864386833596
2529,44.60334550993803
2580,99.01643203634919
2631,36.879836822621556
2682,82.6106726399748
2733,99.01643203634919
2784,85.43053111199684
2835,99.01643203634919
2886,99.01643203634919
2937,80.96893290715687
2988,99.01643203634919
3039,83.90030487350977
3090,99.01643203634919
3141,99.01643203634919
3192,62.50723995811536
3243,99.01643203634919
3294,83.31125779014852
3345,74.10331543553325
3396,99.01643203634919
3447,99.01643203634919
3498,99.01643203634919
3549,82.63709629487309
3600,99.01643203634919
3651,99.01643203634919
3702,99.01643203634919
3753,99.01643203634919
3804,85.06889622407562
3855,99.01643203634919
3906,73.69873363681984
3957,47.631693181297756
4008,43.732501126592744
4059,45.88594216836502
4110,99.01643203634919
4161,84.21804650058228
4212,27.42823982022461
4263,77.45366458953416
4314,37.95684143788178
4365,99.01643203634919
4416,99.01643203634919
4467,85.71610607162395
4518,99.01643203634919
4569,58.970948265495856
4620,99.01643203634919
4671,99.01643203634919
4722,70.30027721979518
4773,99.01643203634919
4824,99.01643203634919
4875,54.84774700953595
4926,99.01643203634919
4977,80.56996528501912
5028,86.84268192282445
5079,40.50026090446225
5130,45.687701705190385
5181,99.01643203634919
5232,99.01643203634919
5283,36.1535537835891
5334,99.01643203634919
5385,99.01643203634919
5436,99.01643203634919
5487,81.17716250993092
5538,30.60126025867322
5589,78.12828472621696
5640,50.514017168345106
5691,99.01643203634919
5742,99.01643203634919
5793,99.01643203634919
5844,99.01643203634919
5895,35.57214517020424
5946,80.39648425660033
5997,84.87602724539475
6048,99.01643203634919
6099,89.1823891175648
6150,99.01643203634919
6201,58.28376628564394
6252,77.99143241808596
6303,68.98136371486126
6354,87.22114093506956
6405,75.24643530196043
6456,76.203199679067
6507,62.74609867609008
6558,99.01643203634919
6609,62.430478029547984
6660,87.09009773954476
6711,99.01643203634919
6762,99.01643203634919
6813,16.427215137213377
6864,87.5672012152422
6915,33.633830884588924
6966,81.28767650260306
7017,47.57386829746689
7068,44.032067736610145
7119,85.84238815538049
7170,49.06421115087504
7221,99.01643203634919
7272,99.01643203634919
7323,71.9026738249343
7374,99.01643203634919
7425,78.5099960945481
7476,35.43319954768307
7527,27.984246006090675
7578,99.01643203634919
7629,99.01643203634919
7680,69.23801877962727
7731,60.98469434483562
7782,99.01643203634919
7833,99.01643203634919
7884,80.94061655202401
7935,70.58871972678511
7986,43.43361245063717
8037,53.32847493510644
8088,73.61656969808261
8139,70.03902576456676
8190,99.01643203634919
8241,99.01643203634919
8292,33.97793891697838
8343,80.99396202540497
8394,43.47228608611393
8445,99.01643203634919
8496,69.83717949858216
8547,70.92544398587366
8598,85.38099700600615
8649,69.5812285758835
8700,60.252565291563656
8751,99.01643203634919
8802,99.01643203634919
8853,76.52843851611625
8904,84.03398901339364
8955,99.01643203634919
9006,84.11855720546501
9057,91.09223907540051
9108,79.59834082961798
9159,75.51337847750312
9210,85.1204197498344
9261,99.01643203634919
9312,61.58869178787731
9363,64.67643918327046
9414,99.01643203634919
9465,68.90504549761847
9516,5.868594593594965
9567,13.218880370230048
9618,87.47012926347519
9669,99.01643203634919
9720,99.01643203634919
9771,79.21628883459616
9822,99.01643203634919
9873,90.73461854320308
9924,73.93089752966327
9975,40.07221313481705
10026,80.58378904046111
10077,23.84158952593866
10128,99.01643203634919
10179,84.08251403133552
10230,99.01643203634919
10281,88.2909573746818
10332,92.89473975089514
10383,97.13261630118858
10434,99.01643203634919
10485,60.357522597150975
10536,49.22815725299125
10587,39.716012440861576
10638,99.01643203634919
10689,71.92780176802594
10740,99.01643203634919
10791,86.55270290116754
10842,99.01643203634919
10893,99.01643203634919
10944,49.29449241146287
10995,92.61525154728052
11046,77.46040440309316
11097,54.01287827528414
11148,33.400821032027
11199,86.81002610304658
11250,48.97208313091497
11301,94.46879507153484
11352,88.04141313378705
11403,21.87981601214809
11454,99.01643203634919
11505,67.70717530214863
11556,89.016191365395
11607,99.01643203634919
11658,99.01643203634919
11709,85.79436663037814
11760,49.34859508809002
11811,99.01643203634919
11862,68.50829037481837
11913,99.01643203634919
11964,99.01643203634919
12015,51.49737369390101
12066,78.2521503586841
12117,26.478110740436474
12168,82.81219967142123
12219,99.01643203634919
12270,23.09971078034674
12321,88.65128785565872
12372,86.76729386179959
12423,88.80589087509266
12474,99.01643203634919
12525,52.65786921106034
12576,84.7169404720347
12627,37.833539434038855
12678,99.01643203634919
12729,88.46543500316294
12780,99.01643203634919
12831,92.43303955182134
12882,54.26885083009187
12933,3.68482829251355
12984,80.49595728681388
13035,22.30539143501537
13086,85.07832213336648
13137,99.01643203634919
13188,45.92567538373339
13239,38.88452390857863
13290,53.027720835366296
13341,97.07802844553136
13392,99.01643203634919
13443,65.7075866947858
13494,45.31594833034295
